id,name,year
0,Mercedes,2020
1,Ferrari,2020
2,Red Bull Racing,2020
3,Williams,2020
4,Racing Point,2020
5,Renault,2020
6,Alpha Tauri,2020
7,Haas,2020
8,McLaren,2020
9,Alfa Romeo,2020
10,McLaren 1988,1998
11,McLaren 1991,1991
12,Williams 1992,1992
13,Ferrari 1995,1995
14,Williams 1996,1996
15,McLaren 1998,1998
16,Ferrari 2002,2002
17,Ferrari 2004,2004
18,Renault 2006,2006
19,Ferrari 2007,2007
20,McLaren 2008,2008
21,Red Bull 2010,2010
22,Ferrari 1976,1976
23,ART Grand Prix,2020
24,Campos Vexatec Racing,2020
25,Carlin,2020
26,Charouz Racing System,2020
27,DAMS,2020
28,Russian Time,2020
29,MP Motorsport,2020
30,Pertamina,2020
31,McLaren 1990,1990
32,Trident,2020
33,BWT Arden,2020
34,McLaren 1976,1976
35,Lotus 1972,1972
36,Ferrari 1979,1979
37,McLaren 1982,1982
38,Williams 2003,2003
39,Brawn 2009,2009
40,Lotus 1978,1978
41,F1 Generic car,2020
42,Art GP ’19,2019
43,Campos ’19,2019
44,Carlin ’19,2019
45,Sauber Junior Charouz ’19,2019
46,Dams ’19,2019
47,Uni-Virtuosi ‘19,2019
48,MP Motorsport ‘19,2019
49,Prema ’19,2019
50,Trident ’19,2019
51,Arden ’19,2019
53,Benetton 1994,1994
54,Benetton 1995,1995
55,Ferrari 2000,2000
56,Jordan 1991,1991